producto,precio,vendedor,ubicacion,reputacion_vendedor,fecha_extraccion,url_producto,disponible,envio_gratis,categoria
"Notebook Hp Amd Ryzen 5 7520u, 8gb Ram DDR5, 512gb Ssd, Pantalla 15.6"" Full HD, Windows 11, Color Silver",$1.057.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-hp-amd-ryzen-5-7520u-8gb-ram-ddr5-512gb-ssd-pantalla-156-full-hd-windows-11-color-silver/p/MLA46910915?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA46910915&wid=MLA2027768126&position=12&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Dell Inspiron 3535 Amd Ryzen 3 7320u 8 Gb Lpddr5-sdram 512 Gb Ssd 39.6 Cm (15.6 ) Full Hd Ips 120hz Amd Radeon Graphics 610m Wi-fi 5 (802.11ac) Windows 11 Home Teclado Español Black,$1.499.999,Por Atajo,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3535-amd-ryzen-3-7320u-8-gb-lpddr5-sdram-512-gb-ssd-396-cm-156-full-hd-ips-120hz-amd-radeon-graphics-610m-wi-fi-5-80211ac-windows-11-home-teclado-espanol-black/p/MLA48939378?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA48939378&wid=MLA2079922090&position=15&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",$868.210,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial/p/MLA17828518?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA17828518&wid=MLA1496970789&position=3&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Netbook Exolite L1 Intel Celeron N4020 8gb Ssd 480gb Linux Color Negro,$449.999,Por EXO,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/netbook-exolite-l1-intel-celeron-n4020-8gb-ssd-480gb-linux-color-negro/p/MLA42615655?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA42615655&wid=MLA1956594850&position=7&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Lenovo Celeron N4020 4gb 128gb 14'' Win 11 Blue,$509.999,Por PCREGISTRADA,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-lenovo-celeron-n4020-4gb-128gb-14-win-11-blue/p/MLA42646225?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA42646225&wid=MLA2018195560&position=9&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Asus Vivobook 14 Intel Core I3 1215u 16gb De Ram 512gb Ssd Full Hd Windows 11 Home,$1.362.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-asus-vivobook-14-intel-core-i3-1215u-16gb-de-ram-512gb-ssd-full-hd-windows-11-home/p/MLA40553594?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA40553594&wid=MLA1457695649&position=13&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Nsx Intel Celeron N5100 8gb Ram 256gb Ssd 14.1 W11 Color Negro,$452.165,Por Htvs,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-nsx-intel-celeron-n5100-8gb-ram-256gb-ssd-141-w11-color-negro/p/MLA40153477?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA40153477&wid=MLA1909586374&position=16&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata",$841.823,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-plata/p/MLA17828520?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA17828520&wid=MLA1496840399&position=19&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Lenovo Ideapad Slim 3 15,6 Ryzen 3 8gb ram 256gb Ssd Windows 11 Home Color Azul",$1.391.999,Por ESPACIO ELECTRONICA,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-slim-3-156-ryzen-3-8gb-ram-256gb-ssd-windows-11-home-color-azul/p/MLA37826538?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA37826538&wid=MLA2004285974&position=20&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Asus Vivobook 15.6 Intel Core I3, 8gb De Ram, 128gb Ssd, Pantalla 15.6 Full Hd, Windows 11, Color Negro",$610.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-asus-vivobook-156-intel-core-i3-8gb-de-ram-128gb-ssd-pantalla-156-full-hd-windows-11-color-negro/p/MLA47407544?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA47407544&wid=MLA1503654311&position=23&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Celular Zte Blade A54 128gb 4gb Ram Gris,$229.999,Por Mercado Libre,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/celular-zte-blade-a54-128gb-4gb-ram-gris/p/MLA29233009?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA29233009&wid=MLA1435995119&position=2&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Samsung Galaxy A06 128gb 4gb Black,$274.999,Por Samsung,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/samsung-galaxy-a06-128gb-4gb-black/p/MLA41999134?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA41999134&wid=MLA1940247228&position=4&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Samsung Galaxy A26 Mint,$699.999,Por Samsung,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/samsung-galaxy-a26-mint/p/MLA50308347?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA50308347&wid=MLA2091074606&position=8&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Motorola Moto G55 5g 256gb 8gb 6.5 Negro,$381.103,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-motorola-moto-g55-5g-256gb-8gb-65-negro/p/MLA42830499?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA42830499&wid=MLA1501256059&position=11&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
"Tcl 501 Pantalla Grande De 6,0 64 Gb Liberado Glacial Blue",$199.999,Por ProntoTec,No disponible,No disponible,2025-06-07,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LHpS7qqVjJIpHx%2FIxJ%2BxIjCLS%2BwthS7U%2B1tXgFxEb1pzxnfYSxGmP%2Fsm0jHQov%2B3yzGQAb9suGSGzGC7Wt%2FkPxRODoj%2Ba6f87RZ0RP4CySzYPpF%2ByS034g18ItzdNbhYqKpbJ%2FJSW%2BITpBQ%2Fo04Z7Oro9FLDs2O%2BcuKf6dhTfgcRdA533U3%2FIziuYK8BipaP4hHLyu81d9I0tIAcpKA7r6BvxRXS0Q5EBMzmi6BHrK%2BK4nXGeOhNqXjH9pNbIw9QqnBiwmt53obGcZca4aiLjuAKvIYhsqRniqXcRn%2B4HWNGbRcS%2B9USHPiNIamXkZMBH2jXPGWFem%2Bz2okT1imf3pukl1RVif9%2BGkR8%2F7oJjgt3Q3sof25pqrlbxfy3bn5VBConJhKCbK9HpryTU1v%2F78g%2BgWqVBmMlX2L3DfrFeGWyrOhYiN8Tacqio1SiCPaAsAeFuDfwcdOzRIuM%2B7wlKrVV2q%2FlchLpSWIL1mhUECkTrHJdoDh%2BggB2enN0i65QRDmDYd5TaCuW3LWaIJJ6CtVoufa0%2BpysjX58bUG0dJMJWOlopnrijpGJGFJGwvDJuJ7yk%2BetqSVj9AfTj3kYNsRWVpcCo%2FCXmeS37K8d1BzXLTpw2OkssVyRZYj%2BzIA3ADAqrcaWpHab8o%2F4LuSkVvI1Eo7yhIlGc%2FjjS27UZYPQpt8LgWICaR0B5Qw4zvTeAhBNwgdyFivhB8C5zbaEudMVSG8XduRRBuFGytuYlYxOQx8A3T6KL9SgEtXldKeEV62rFi1W5wHPqyaNa%2FrSZRmOU88KcffwHuqSMQdcRx%2BMk5mfWqVkcKjQOmRXw8G2jAso%2B02quBRmdDHlM2tKu%2FpOUHdAgbvvRJQ4E0OGJP46%2BUHWpxSxrI5lQoZdHinjDsyuO1XJpwU5udlL1r%2Blmf8uYP8EtOrpF1qOFNytfGGC4%2FnhXAaI2VTY3aZJtcir6eUTOn5fRQAq9JZ2FicFRmRCXSPw69M%2FW0kgAp1fhWoNk6GhmvMcKfQOGLvpgyfq3dyaowTnlOvnOg%3D%3D&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&wid=MLA1998328572&sid=search,Sí,Sí,smartphone
"Smartphone Motorola Moto G04s Coral de 128 GB, 4 GB+4 GB Ram Boost Cam, 50 MP, pantalla Gorilla Glass 6.6",$178.980,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-motorola-moto-g04s-coral-de-128-gb-4-gb4-gb-ram-boost-cam-50-mp-pantalla-gorilla-glass-66/p/MLA36337426?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA36337426&wid=MLA1484143709&position=14&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Moto G85 5G Dual SIM 256 GB grafito 8 GB RAM,$474.990,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/moto-g85-5g-dual-sim-256-gb-grafito-8-gb-ram/p/MLA40699662?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA40699662&wid=MLA2091103456&position=18&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Realme C75 Dual SIM de 256 GB/8 GB con certificado Ram Color Ip69: dorado claro,$532.190,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-realme-c75-dual-sim-de-256-gb8-gb-con-certificado-ram-color-ip69-dorado-claro/p/MLA47310464?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA47310464&wid=MLA2094166870&position=22&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
"Smartphone Motorola Moto G55 5g, 256 GB, 16 GB de RAM Boost y cámara de 50 MP con pantalla Ai NFC 6.5 con superbrillo, verde",$339.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-motorola-moto-g55-5g-256-gb-16-gb-de-ram-boost-y-camara-de-50-mp-con-pantalla-ai-nfc-65-con-superbrillo-verde/p/MLA45645384?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA45645384&wid=MLA1501119975&position=24&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Celular Motorola Edge 50 Fusion 12gb Ram + 512gb De Almacenamiento Color Forest Blue,$772.018,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-celular-motorola-edge-50-fusion-12gb-ram-512gb-de-almacenamiento-color-forest-blue/p/MLA46850434?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA46850434&wid=MLA1489093333&position=34&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Redmi 14c 128gb 4 Ram lanzado en 2024 + Teléfono azul estrellado,$359.828,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-redmi-14c-128gb-4-ram-lanzado-en-2024-telefono-azul-estrellado/p/MLA43606458?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA43606458&wid=MLA2005122574&position=39&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Celular Samsung Galaxy A16 6+128gb Negro,$276.188,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/celular-samsung-galaxy-a16-6128gb-negro/p/MLA45772792?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA45772792&wid=MLA1495382971&position=44&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Teléfono Celular Tcl 408 (4+64) Midnight Blue Rva,$244.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/telefono-celular-tcl-408-464-midnight-blue-rva/p/MLA22799979?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA22799979&wid=MLA1947329592&position=43&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Celular Tcl 40 Nxtpaper 8GB Ram 256 GB Opalescent,$399.999,Por Mercado Libre,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/celular-tcl40-nxtpaper8gb-ram-256-gb-opalescent/p/MLA34729541?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA34729541&wid=MLA1458022523&position=45&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Xiaomi Poco C75/256g negro de 8 GB de RAM/NFC,$210.889,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-xiaomi-poco-c75256g-negro-de-8-gb-de-ramnfc/p/MLA43266650?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA43266650&wid=MLA2015917982&position=27&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Moto G35 5g 256 Gb 8ram Verde,$314.000,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-moto-g35-5g-256-gb-8ram-verde/p/MLA47328442?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA47328442&wid=MLA2101285498&position=33&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Moto G35 5g 128 GB Grafito,$259.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-moto-g35-5g-128-gb-grafito/p/MLA41540844?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA41540844&wid=MLA2093184298&position=38&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Infinix Note 40 5g 8 Gb 256 Gb Cámara Triple De 108 Mp+ 32 Mp Dorado,$379.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-infinix-note-40-5g-8-gb-256-gb-camara-triple-de-108-mp-32-mp-dorado/p/MLA42523526?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA42523526&wid=MLA1501173119&position=42&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Celular Motorola G54 Power Edition 8gb Ram + 256gb Almacenamiento Color Midnight Blue,$299.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-celular-motorola-g54-power-edition-8gb-ram-256gb-almacenamiento-color-midnight-blue/p/MLA47159754?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA47159754&wid=MLA2078597580&position=46&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Moto G35 5g 256 Gb 8ram Negro,$269.783,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-moto-g35-5g-256-gb-8ram-negro/p/MLA47317457?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA47317457&wid=MLA1498208277&position=47&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
